fallecido,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,All
DEPARTAMENTO,,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI,
epi_year,epi_week,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3
2020,12,0,0,0,0,1,0,0,1,0,0,1,1,0,5,15,3,0,0,0,1,0,0,0,0,2,30
2020,13,0,3,0,0,0,0,2,5,0,0,1,0,2,4,32,6,1,0,0,2,1,0,0,0,3,62
2020,14,0,0,0,15,0,2,15,1,0,0,9,2,5,19,120,9,0,0,0,9,0,2,1,3,11,223
2020,15,1,9,1,7,1,4,42,1,1,3,12,9,8,65,303,19,0,0,1,25,1,1,0,7,9,530
2020,16,0,24,0,7,2,4,75,0,0,0,24,11,18,120,534,30,0,0,1,64,1,1,0,7,18,941
2020,17,0,47,3,13,3,4,142,2,2,0,31,11,21,190,850,159,1,1,1,127,2,4,1,16,77,1708
2020,18,2,67,0,14,1,5,151,1,2,4,49,13,45,244,1159,350,0,1,5,222,3,2,1,6,170,2517
2020,19,7,102,1,18,7,4,217,2,3,11,69,27,49,261,1402,512,2,1,3,352,5,8,2,19,162,3246
2020,20,11,97,0,18,7,5,297,5,2,4,75,30,57,263,1673,367,2,2,1,429,2,15,2,28,151,3543
2020,21,9,110,0,22,8,9,349,3,3,22,93,32,81,238,1888,239,4,3,7,488,1,13,3,46,139,3810
2020,22,6,148,3,50,10,9,329,4,4,18,139,40,147,228,2147,161,1,3,3,467,3,22,4,59,63,4068
2020,23,14,151,4,65,9,11,361,5,4,18,191,25,263,187,2096,122,17,1,5,375,4,68,4,80,60,4140
2020,24,11,161,4,100,20,20,281,6,2,30,200,37,323,163,2108,115,27,4,4,333,6,110,3,55,68,4191
2020,25,20,140,6,137,16,19,278,10,1,42,198,58,356,180,2004,89,36,5,8,287,10,167,5,44,56,4172
2020,26,35,112,6,162,12,40,189,5,3,41,177,69,364,124,1761,70,40,7,6,233,16,172,10,46,44,3744
2020,27,45,131,6,248,16,76,168,16,5,57,195,105,357,114,1677,50,42,18,7,204,15,130,6,31,36,3755
2020,28,44,139,5,293,20,102,186,22,19,64,219,164,343,112,1734,53,45,31,15,145,17,107,11,25,30,3945
2020,29,49,135,3,356,40,140,201,35,17,81,216,185,303,119,1764,42,46,36,21,157,31,105,26,27,44,4179
2020,30,51,145,10,391,57,163,195,69,24,67,170,175,287,125,1764,37,23,92,17,127,66,92,51,22,40,4260
2020,31,30,129,11,394,57,139,173,154,22,54,185,200,244,109,1839,36,25,109,13,127,125,82,76,19,50,4402
2020,32,31,117,19,339,61,127,203,173,35,75,189,185,192,125,1852,47,26,137,21,135,155,63,98,20,31,4456
2020,33,21,102,22,292,93,95,168,175,48,64,154,153,194,123,1844,24,20,109,20,175,215,58,113,16,28,4326
2020,34,14,96,20,245,71,88,146,205,37,46,155,110,142,118,1663,25,16,72,19,143,200,48,76,9,39,3803
2020,35,18,104,24,192,48,77,137,143,34,57,128,146,143,113,1461,29,15,59,27,153,142,42,77,17,31,3417
2020,36,8,70,23,142,59,61,113,102,23,34,101,96,106,90,1220,12,6,28,17,125,108,31,51,18,37,2681
2020,37,27,61,19,111,32,46,103,65,20,23,95,74,94,113,995,17,6,16,11,116,70,26,36,19,25,2220
2020,38,21,58,14,94,23,51,102,49,11,23,66,57,94,83,856,10,6,15,12,111,53,24,32,8,21,1894
2020,39,17,45,19,56,24,32,76,57,4,26,83,59,63,84,720,8,4,15,12,83,36,27,19,11,16,1596
2020,40,9,35,10,47,17,27,54,41,6,12,45,41,45,65,569,4,6,12,11,83,27,18,16,7,12,1219
2020,41,7,28,13,56,20,27,66,22,10,20,46,37,40,75,529,11,1,17,7,63,33,18,9,4,12,1171
2020,42,8,32,11,41,17,20,56,19,6,15,30,27,42,78,425,14,2,5,2,64,20,16,6,12,12,980
2020,43,10,21,4,31,9,21,27,28,7,16,39,35,26,78,373,13,5,11,2,57,19,15,6,8,5,866
2020,44,4,26,14,26,12,21,35,25,6,12,34,20,41,59,330,3,6,5,3,38,21,11,7,11,7,777
2020,45,6,25,9,27,5,21,37,16,4,15,24,23,30,53,296,7,3,8,5,64,24,11,10,6,12,741
2020,46,6,23,11,27,10,19,38,22,6,16,24,20,42,67,282,9,3,5,4,59,11,13,5,4,9,735
2020,47,2,27,5,32,10,14,22,17,5,10,26,13,42,54,244,7,1,4,0,82,7,9,4,6,9,652
2020,48,6,19,11,23,4,12,21,12,3,8,27,19,32,73,239,5,2,4,10,94,8,12,5,10,6,665
2020,49,3,27,7,26,8,19,27,22,1,12,24,21,39,53,235,3,0,5,7,110,8,14,2,6,6,685
2020,50,3,22,14,26,8,22,26,13,3,13,23,20,36,68,280,7,2,6,6,118,17,3,3,8,6,753
2020,51,3,35,8,35,10,18,41,15,5,19,45,19,49,61,284,6,4,12,6,99,18,3,3,11,9,818
2020,52,11,35,10,47,2,22,34,18,3,19,48,21,57,64,325,4,3,14,13,88,15,9,4,10,6,882
